Year,Oceania_Temperature
194710,-0.94
194711,-0.79
194712,-0.72
194801,-0.78
194802,0.29
194803,-0.78
194804,-0.63
194805,-0.58
194806,-0.54
194807,-0.21
194808,0.06
194809,-0.32
194810,-0.02
194811,-0.25
194812,-0.17
194901,-0.66
194902,-1.44
194903,-0.85
194904,-1.33
194905,-0.87
194906,-1.59
194907,-0.08
194908,-0.01
194909,-0.66
194910,-0.31
194911,-0.83
194912,0.00
195001,-0.32
195002,-0.66
195003,-0.66
195004,-0.40
195005,0.47
195006,-0.69
195007,-0.11
195008,-0.33
195009,0.13
195010,-0.90
195011,-0.58
195012,-0.42
195101,-0.44
195102,-0.13
195103,0.79
195104,-0.75
195105,-0.84
195106,0.26
195107,-0.21
195108,-1.05
195109,0.23
195110,-0.27
195111,0.31
195112,0.06
195201,0.41
195202,-0.07
195203,0.08
195204,-0.43
195205,-0.23
195206,-0.23
195207,-0.43
195208,-0.42
195209,-0.06
195210,-0.44
195211,-0.72
195212,-0.27
195301,-0.73
195302,-1.36
195303,0.77
195304,0.99
195305,-0.57
195306,0.04
195307,-0.06
195308,-1.10
195309,-0.55
195310,-0.07
195311,-0.31
195312,0.32
195401,-0.31
195402,-0.86
195403,0.27
195404,0.15
195405,-0.21
195406,-0.57
195407,0.20
195408,0.10
195409,-0.24
195410,-0.16
195411,-0.29
195412,-0.15
195501,-0.12
195502,0.21
195503,-0.28
195504,-0.22
195505,-0.87
195506,0.24
195507,-0.31
195508,0.63
195509,0.41
195510,-0.14
195511,-1.00
195512,-0.66
195601,-0.43
195602,0.26
195603,-0.34
195604,-0.26
195605,-0.45
195606,-0.88
195607,0.05
195608,-1.08
195609,-1.26
195610,-1.04
195611,-0.88
195612,-0.56
195701,-0.03
195702,-0.27
195703,-0.44
195704,0.81
195705,-0.08
195706,1.66
195707,-1.07
195708,-0.11
195709,-0.44
195710,0.54
195711,0.56
195712,0.45
195801,0.03
195802,0.45
195803,0.51
195804,1.05
195805,1.84
195806,0.31
195807,0.55
195808,0.39
195809,-1.20
195810,-0.30
195811,0.14
195812,-0.32
195901,0.34
195902,0.21
195903,0.75
195904,0.56
195905,0.00
195906,0.42
195907,0.42
195908,0.48
195909,0.31
195910,0.14
195911,1.20
195912,-0.53
196001,0.59
196002,-0.20
196003,-0.02
196004,-0.04
196005,-1.55
196006,-0.65
196007,0.17
196008,-1.01
196009,-0.49
196010,0.27
196011,-0.67
196012,-0.11
196101,0.19
196102,0.05
196103,0.44
196104,0.90
196105,-0.16
196106,0.01
196107,-0.57
196108,-0.70
196109,0.58
196110,1.01
196111,0.15
196112,0.50
196201,-0.02
196202,0.04
196203,-0.19
196204,-0.04
196205,-0.53
196206,1.35
196207,0.45
196208,-0.32
196209,-0.16
196210,-0.07
196211,0.65
196212,-0.08
196301,-0.58
196302,-0.07
196303,0.44
196304,-0.46
196305,0.28
196306,-0.21
196307,-0.32
196308,-0.10
196309,-0.10
196310,0.14
196311,-0.03
196312,0.30
196401,-0.10
196402,-0.38
196403,0.26
196404,0.38
196405,-0.10
196406,0.33
196407,0.75
196408,0.20
196409,0.44
196410,-1.05
196411,-0.41
196412,-0.96
196501,-0.05
196502,1.08
196503,-0.17
196504,-0.40
196505,0.47
196506,0.33
196507,-0.86
196508,0.19
196509,0.65
196510,0.63
196511,0.12
196512,0.27
196601,-0.22
196602,-0.12
196603,0.13
196604,0.47
196605,-0.63
196606,0.28
196607,-0.35
196608,-0.75
196609,-0.38
196610,-1.00
196611,-0.16
196612,-0.77
196701,0.15
196702,-0.62
196703,-1.24
196704,0.52
196705,0.31
196706,0.01
196707,-0.54
196708,-0.66
196709,-0.34
196710,1.38
196711,0.34
196712,-0.31
196801,0.32
196802,0.19
196803,0.28
196804,0.72
196805,-1.06
196806,0.44
196807,-0.65
196808,-0.88
196809,-0.55
196810,-0.15
196811,-0.07
196812,-0.62
196901,0.94
196902,0.20
196903,0.00
196904,0.01
196905,0.23
196906,-0.23
196907,0.76
196908,0.56
196909,-1.27
196910,0.77
196911,0.16
196912,-0.19
197001,0.25
197002,0.72
197003,0.09
197004,0.16
197005,-0.28
197006,0.91
197007,-0.12
197008,-0.33
197009,-0.53
197010,0.57
197011,-0.19
197012,0.09
197101,0.63
197102,0.39
197103,0.41
197104,-0.24
197105,-0.34
197106,-0.69
197107,-0.30
197108,0.39
197109,0.38
197110,0.44
197111,-0.84
197112,-0.27
197201,-0.59
197202,-0.11
197203,-0.37
197204,-0.17
197205,0.17
197206,0.51
197207,-0.13
197208,0.66
197209,0.68
197210,0.40
197211,0.50
197212,1.51
197301,1.00
197302,0.25
197303,0.48
197304,1.03
197305,1.22
197306,0.86
197307,1.71
197308,0.83
197309,0.18
197310,0.41
197311,-0.11
197312,-0.04
197401,-0.81
197402,-0.97
197403,0.09
197404,-0.26
197405,-0.15
197406,-0.47
197407,0.43
197408,0.23
197409,-0.42
197410,-0.45
197411,-0.93
197412,-0.24
197501,-0.38
197502,-0.22
197503,-0.36
197504,-0.05
197505,0.47
197506,-0.02
197507,1.55
197508,0.15
197509,0.80
197510,-0.96
197511,0.01
197512,-0.26
197601,-1.23
197602,-0.54
197603,-0.30
197604,-0.25
197605,-0.49
197606,-0.39
197607,0.12
197608,-0.37
197609,-0.52
197610,-0.91
197611,-0.61
197612,0.60
197701,0.18
197702,0.67
197703,-0.21
197704,-0.04
197705,-0.10
197706,-0.35
197707,-0.27
197708,0.74
197709,-0.59
197710,0.70
197711,0.48
197712,0.49
197801,0.14
197802,0.55
197803,0.80
197804,0.31
197805,0.73
197806,0.07
197807,-0.02
197808,-0.18
197809,-1.02
197810,-0.42
197811,-0.28
197812,-0.36
197901,1.09
197902,0.03
197903,0.52
197904,0.42
197905,-0.44
197906,0.86
197907,0.24
197908,0.29
197909,0.27
197910,0.19
197911,1.08
197912,1.14
198001,0.30
198002,0.19
198003,0.89
198004,0.78
198005,1.13
198006,0.59
198007,0.28
198008,0.78
198009,1.16
198010,0.49
198011,1.10
198012,0.72
198101,0.56
198102,0.16
198103,-0.43
198104,1.44
198105,0.46
198106,0.10
198107,0.68
198108,0.67
198109,1.21
198110,0.26
198111,-0.49
198112,0.50
198201,0.72
198202,0.32
198203,-0.34
198204,0.24
198205,0.15
198206,-0.84
198207,-0.62
198208,1.19
198209,-0.10
198210,-0.43
198211,1.05
198212,0.87
198301,0.25
198302,1.84
198303,0.65
198304,-0.56
198305,0.53
198306,0.34
198307,-0.47
198308,0.86
198309,1.45
198310,0.76
198311,0.27
198312,0.22
198401,-1.03
198402,-0.11
198403,-0.78
198404,0.05
198405,0.60
198406,0.19
198407,-0.42
198408,0.21
198409,-0.99
198410,0.14
198411,0.44
198412,0.24
198501,0.76
198502,0.87
198503,1.04
198504,0.29
198505,0.53
198506,-0.38
198507,0.20
198508,0.79
198509,-0.27
198510,-0.11
198511,0.35
198512,0.18
198601,0.19
198602,0.68
198603,1.44
198604,0.70
198605,1.00
198606,0.63
198607,0.12
198608,-0.30
198609,0.53
198610,-0.41
198611,0.08
198612,0.20
198701,0.23
198702,-0.24
198703,-0.43
198704,1.01
198705,0.23
198706,0.96
198707,0.29
198708,0.11
198709,0.27
198710,0.80
198711,0.59
198712,0.31
198801,1.18
198802,0.18
198803,0.89
198804,0.77
198805,1.28
198806,1.00
198807,1.06
198808,0.74
198809,1.08
198810,1.97
198811,-0.07
198812,-0.04
198901,0.10
198902,0.65
198903,0.07
198904,0.52
198905,0.93
198906,-0.39
198907,-0.05
198908,-0.75
198909,0.47
198910,0.63
198911,-0.08
198912,0.44
199001,0.73
199002,-0.15
199003,1.14
199004,0.41
199005,1.03
199006,-0.05
199007,0.77
199008,0.05
199009,0.03
199010,0.64
199011,1.50
199012,1.09
199101,0.51
199102,0.63
199103,0.47
199104,0.48
199105,0.53
199106,1.59
199107,0.61
199108,0.32
199109,0.54
199110,1.35
199111,0.22
199112,-0.01
199201,-0.09
199202,0.41
199203,1.05
199204,0.96
199205,0.64
199206,0.47
199207,0.66
199208,0.35
199209,0.06
199210,-0.30
199211,-0.83
199212,-0.29
199301,0.57
199302,-0.21
199303,0.34
199304,1.22
199305,0.86
199306,0.25
199307,1.00
199308,0.74
199309,0.17
199310,-0.25
199311,0.64
199312,-0.35
199401,0.82
199402,0.11
199403,-0.52
199404,0.09
199405,0.47
199406,0.22
199407,0.40
199408,-0.24
199409,0.16
199410,0.61
199411,0.35
199412,0.87
199501,0.40
199502,-0.18
199503,-0.31
199504,-0.31
199505,0.05
199506,0.55
199507,0.56
199508,0.99
199509,1.05
199510,0.20
199511,0.50
199512,-0.13
199601,0.24
199602,0.28
199603,0.26
199604,0.14
199605,0.53
199606,1.98
199607,1.00
199608,0.78
199609,0.64
199610,0.73
199611,0.17
199612,0.27
199701,-0.13
199702,0.75
199703,-0.38
199704,0.34
199705,0.33
199706,0.24
199707,-0.23
199708,0.19
199709,1.09
199710,0.70
199711,0.79
199712,0.93
199801,1.00
199802,1.33
199803,1.31
199804,0.81
199805,1.41
199806,0.92
199807,0.79
199808,1.55
199809,1.29
199810,1.03
199811,0.36
199812,0.25
199901,1.27
199902,0.31
199903,0.78
199904,-0.26
199905,1.04
199906,0.65
199907,0.78
199908,0.82
199909,1.15
199910,0.80
199911,-0.95
199912,-0.52
200001,-0.42
200002,0.11
200003,0.09
200004,0.31
200005,-0.60
200006,-0.35
200007,0.77
200008,0.29
200009,1.44
200010,0.06
200011,0.49
200012,0.15
200101,1.19
200102,0.49
200103,-0.29
200104,0.47
200105,0.06
200106,0.96
200107,0.70
200108,0.29
200109,0.89
200110,-0.48
200111,-0.17
200112,-0.32
200201,0.23
200202,-0.35
200203,0.54
200204,1.75
200205,1.39
200206,0.56
200207,0.54
200208,0.37
200209,1.03
200210,0.97
200211,1.42
200212,1.03
200301,0.88
200302,0.99
200303,-0.03
200304,1.08
200305,1.14
200306,0.91
200307,0.93
200308,0.68
200309,1.17
200310,-0.05
200311,0.74
200312,0.90
200401,0.66
200402,0.76
200403,0.49
200404,1.06
200405,0.37
200406,0.76
200407,0.46
200408,0.10
200409,-0.09
200410,1.53
200411,0.45
200412,0.61
200501,0.68
200502,0.79
200503,1.09
200504,2.34
200505,1.29
200506,1.07
200507,1.16
200508,0.55
200509,1.17
200510,1.23
200511,0.90
200512,0.92
200601,1.16
200602,0.70
200603,0.72
200604,-0.13
200605,-0.45
200606,-0.46
200607,0.25
200608,0.96
200609,1.06
200610,1.34
200611,1.49
200612,0.48
200701,0.28
200702,1.63
200703,0.66
200704,1.03
200705,1.73
200706,-0.78
200707,0.51
200708,0.85
200709,1.05
200710,1.25
200711,0.68
200712,0.27
200801,1.24
200802,-0.20
200803,0.60
200804,-0.02
200805,0.51
200806,1.02
200807,0.45
200808,-0.45
200809,1.16
200810,1.55
200811,0.24
200812,0.31
200901,0.63
200902,0.61
200903,0.68
200904,0.84
200905,0.32
200906,0.88
200907,0.93
200908,2.23
200909,1.18
200910,0.62
200911,1.75
200912,0.92
201001,0.78
201002,0.94
201003,0.55
201004,1.57
201005,0.82
201006,0.68
201007,1.10
201008,0.32
201009,0.35
201010,0.02
201011,-0.20
201012,-0.13
201101,0.90
201102,0.09
201103,-0.44
201104,-0.16
201105,-0.73
201106,-0.23
201107,0.67
201108,0.98
201109,0.23
201110,0.64
201111,0.40
201112,-0.11
201201,0.32
201202,0.03
201203,-0.54
201204,0.42
201205,-0.06
201206,-0.19
201207,-0.11
201208,0.41
201209,0.97
201210,0.91
201211,1.34
201212,1.22
201301,1.73
201302,0.94
201303,0.98
201304,1.27
201305,1.32
201306,1.00
201307,1.49
201308,1.50
201309,2.27
201310,1.48
201311,0.79
201312,0.81
201401,1.06
201402,0.30
201403,1.02
201404,1.33
201405,1.74
201406,0.75
201407,0.57
201408,0.31
201409,1.16
201410,1.83
201411,1.70
201412,1.04
201501,0.35
201502,1.75
201503,1.05
201504,-0.02
201505,0.35
201506,1.39
201507,0.66
201508,0.78
201509,0.40
201510,2.56
201511,1.84
201512,1.24
201601,0.95
201602,1.39
201603,1.89
201604,2.12
201605,2.08
201606,1.50
201607,1.22
201608,0.77
201609,0.30
201610,0.06
201611,0.76
201612,0.88
201701,0.97
201702,0.70
201703,1.66
201704,0.45
201705,0.90
201706,0.71
201707,1.68
201708,1.12
201709,1.20
201710,1.55
201711,1.00
201712,1.19
201801,1.44
201802,0.98
201803,1.09
201804,2.26
201805,0.56
201806,0.53
201807,1.12
201808,0.19
201809,0.60
201810,1.72
201811,0.82
201812,1.85
201901,2.44
201902,1.28
201903,1.77
201904,1.35
201905,0.83
201906,0.45
201907,1.32
201908,0.24
201909,0.87
201910,1.79
201911,0.98
201912,2.62
202001,1.37
202002,1.10
202003,0.78
202004,1.57
202005,-0.12
202006,1.06
202007,0.92
202008,1.23
202009,2.09
202010,0.99
202011,2.08
202012,0.31
202101,0.48
202102,0.09
202103,0.36
202104,0.42
202105,0.72
202106,0.54
202107,1.52
202108,1.26
202109,0.90
202110,0.95
202111,-0.25
202112,1.14
202201,1.16
202202,0.37
202203,1.56
202204,1.57
202205,1.14
202206,0.86
202207,0.17
202208,0.84
202209,0.69
202210,0.50
202211,-0.65
