Year,Global_Land_Temperature
194406,0.12
194407,0.14
194408,0.15
194409,0.41
194410,0.38
194411,-0.09
194412,-0.30
194501,-0.18
194502,-0.64
194503,-0.14
194504,0.24
194505,-0.10
194506,-0.05
194507,-0.11
194508,0.40
194509,0.15
194510,0.22
194511,-0.01
194512,-0.51
194601,0.33
194602,0.31
194603,-0.10
194604,0.43
194605,0.00
194606,-0.23
194607,-0.02
194608,-0.02
194609,-0.03
194610,-0.03
194611,0.08
194612,-0.67
194701,-0.30
194702,-0.14
194703,0.36
194704,0.27
194705,0.02
194706,0.02
194707,-0.07
194708,-0.06
194709,0.04
194710,0.48
194711,0.16
194712,-0.13
194801,0.62
194802,-0.01
194803,-0.33
194804,0.05
194805,0.22
194806,0.12
194807,0.05
194808,0.03
194809,0.05
194810,0.13
194811,0.06
194812,-0.18
194901,0.49
194902,-0.40
194903,-0.16
194904,0.04
194905,0.12
194906,-0.19
194907,-0.16
194908,0.01
194909,-0.14
194910,0.04
194911,0.07
194912,-0.34
195001,-0.76
195002,-0.45
195003,-0.12
195004,-0.31
195005,-0.02
195006,-0.11
195007,-0.28
195008,-0.38
195009,-0.10
195010,-0.25
195011,-0.82
195012,-0.15
195101,-0.59
195102,-0.99
195103,-0.25
195104,-0.11
195105,0.16
195106,-0.11
195107,0.02
195108,0.09
195109,0.31
195110,0.18
195111,-0.03
195112,0.59
195201,0.30
195202,0.06
195203,-0.32
195204,0.05
195205,0.03
195206,0.00
195207,0.13
195208,0.04
195209,0.16
195210,-0.23
195211,-0.73
195212,-0.12
195301,0.21
195302,0.38
195303,0.49
195304,0.36
195305,0.18
195306,0.18
195307,0.06
195308,0.14
195309,0.16
195310,0.20
195311,-0.23
195312,0.27
195401,-0.68
195402,-0.21
195403,-0.20
195404,-0.28
195405,-0.37
195406,-0.07
195407,-0.13
195408,0.04
195409,0.08
195410,0.11
195411,0.41
195412,-0.23
195501,0.66
195502,-0.05
195503,-0.73
195504,-0.45
195505,-0.10
195506,0.01
195507,-0.19
195508,0.14
195509,-0.02
195510,0.09
195511,-0.29
195512,-0.44
195601,-0.41
195602,-0.62
195603,-0.41
195604,-0.50
195605,-0.42
195606,-0.22
195607,-0.22
195608,-0.40
195609,-0.41
195610,-0.38
195611,-0.41
195612,-0.40
195701,-0.33
195702,-0.36
195703,-0.31
195704,-0.27
195705,-0.07
195706,0.12
195707,-0.16
195708,0.05
195709,0.13
195710,-0.04
195711,0.18
195712,0.63
195801,0.76
195802,0.39
195803,0.12
195804,0.10
195805,0.17
195806,-0.06
195807,0.07
195808,-0.02
195809,-0.14
195810,-0.01
195811,0.16
195812,0.26
195901,0.22
195902,0.06
195903,0.57
195904,0.26
195905,-0.08
195906,0.19
195907,0.11
195908,0.04
195909,0.12
195910,-0.17
195911,-0.34
195912,-0.01
196001,0.06
196002,0.66
196003,-0.74
196004,-0.22
196005,-0.43
196006,0.15
196007,-0.09
196008,0.03
196009,0.08
196010,0.02
196011,-0.25
196012,0.65
196101,0.31
196102,0.40
196103,0.41
196104,0.19
196105,0.24
196106,0.16
196107,0.01
196108,0.01
196109,0.02
196110,-0.22
196111,0.06
196112,-0.16
196201,0.35
196202,0.50
196203,0.33
196204,0.19
196205,0.00
196206,-0.14
196207,-0.02
196208,-0.05
196209,0.01
196210,0.16
196211,0.19
196212,0.34
196301,0.16
196302,0.91
196303,0.03
196304,-0.17
196305,-0.19
196306,-0.10
196307,0.17
196308,0.21
196309,0.32
196310,0.61
196311,0.46
196312,0.13
196401,0.12
196402,-0.20
196403,-0.30
196404,-0.36
196405,-0.10
196406,-0.16
196407,-0.15
196408,-0.20
196409,-0.29
196410,-0.49
196411,-0.16
196412,-0.35
196501,0.11
196502,-0.38
196503,-0.09
196504,-0.42
196505,-0.10
196506,-0.07
196507,-0.16
196508,-0.18
196509,-0.16
196510,0.14
196511,-0.25
196512,0.05
196601,-0.16
196602,-0.04
196603,0.11
196604,-0.28
196605,-0.03
196606,0.18
196607,0.16
196608,0.09
196609,0.09
196610,-0.15
196611,-0.17
196612,-0.47
196701,-0.21
196702,-0.39
196703,0.09
196704,0.12
196705,0.33
196706,-0.21
196707,-0.11
196708,-0.12
196709,-0.10
196710,0.52
196711,0.09
196712,0.11
196801,-0.35
196802,-0.07
196803,0.86
196804,-0.04
196805,-0.22
196806,-0.23
196807,-0.16
196808,-0.18
196809,-0.21
196810,-0.12
196811,-0.20
196812,-0.48
196901,-1.05
196902,-0.88
196903,-0.05
196904,0.10
196905,0.04
196906,-0.04
196907,0.11
196908,0.00
196909,-0.07
196910,-0.05
196911,0.40
196912,0.47
197001,0.07
197002,0.56
197003,-0.12
197004,0.21
197005,0.01
197006,0.13
197007,0.09
197008,-0.02
197009,0.03
197010,-0.22
197011,-0.02
197012,-0.23
197101,0.11
197102,-0.37
197103,-0.14
197104,-0.15
197105,-0.09
197106,-0.17
197107,-0.07
197108,-0.04
197109,0.11
197110,-0.03
197111,0.38
197112,0.16
197201,-0.89
197202,-0.77
197203,0.02
197204,0.03
197205,-0.06
197206,0.07
197207,-0.06
197208,0.05
197209,-0.21
197210,-0.07
197211,-0.23
197212,0.16
197301,0.29
197302,0.82
197303,0.79
197304,0.51
197305,0.36
197306,0.47
197307,0.23
197308,0.15
197309,0.07
197310,0.09
197311,0.01
197312,0.28
197401,-0.62
197402,-0.64
197403,0.09
197404,0.09
197405,-0.05
197406,-0.08
197407,0.06
197408,-0.05
197409,-0.17
197410,-0.30
197411,-0.23
197412,-0.31
197501,0.38
197502,0.13
197503,0.43
197504,0.30
197505,0.23
197506,0.19
197507,0.09
197508,-0.09
197509,0.22
197510,-0.12
197511,-0.17
197512,0.07
197601,0.27
197602,-0.21
197603,-0.66
197604,0.10
197605,-0.17
197606,-0.22
197607,-0.23
197608,-0.20
197609,-0.05
197610,-0.84
197611,-0.44
197612,-0.14
197701,-0.49
197702,0.31
197703,0.67
197704,0.58
197705,0.42
197706,0.45
197707,0.21
197708,0.09
197709,0.16
197710,-0.05
197711,0.56
197712,0.07
197801,0.16
197802,0.20
197803,0.47
197804,0.30
197805,0.04
197806,-0.10
197807,-0.03
197808,-0.23
197809,0.01
197810,0.07
197811,0.33
197812,0.04
197901,-0.06
197902,-0.18
197903,0.28
197904,-0.20
197905,0.09
197906,0.13
197907,0.10
197908,0.17
197909,0.19
197910,0.34
197911,0.24
197912,0.97
198001,0.19
198002,0.43
198003,0.03
198004,0.43
198005,0.48
198006,0.25
198007,0.22
198008,0.24
198009,0.20
198010,0.25
198011,0.63
198012,0.39
198101,1.19
198102,0.90
198103,0.97
198104,0.69
198105,0.31
198106,0.28
198107,0.21
198108,0.38
198109,0.14
198110,0.05
198111,0.29
198112,0.90
198201,-0.13
198202,0.17
198203,-0.14
198204,0.33
198205,0.14
198206,-0.01
198207,0.20
198208,0.12
198209,0.24
198210,-0.05
198211,-0.18
198212,0.72
198301,0.88
198302,0.86
198303,0.62
198304,0.23
198305,0.32
198306,0.19
198307,0.35
198308,0.53
198309,0.50
198310,0.26
198311,0.99
198312,0.33
198401,0.37
198402,-0.01
198403,0.47
198404,0.09
198405,0.60
198406,0.07
198407,0.06
198408,0.15
198409,-0.09
198410,0.06
198411,-0.22
198412,-0.73
198501,0.32
198502,-0.35
198503,0.29
198504,0.28
198505,0.29
198506,0.11
198507,-0.11
198508,0.20
198509,-0.05
198510,0.05
198511,0.00
198512,0.21
198601,0.77
198602,0.53
198603,0.63
198604,0.52
198605,0.44
198606,0.31
198607,0.06
198608,0.18
198609,0.03
198610,0.08
198611,-0.05
198612,0.17
198701,0.47
198702,1.16
198703,0.13
198704,0.33
198705,0.42
198706,0.31
198707,0.55
198708,0.33
198709,0.48
198710,0.19
198711,0.09
198712,0.90
198801,0.80
198802,0.36
198803,0.75
198804,0.70
198805,0.56
198806,0.64
198807,0.52
198808,0.46
198809,0.51
198810,0.47
198811,0.40
198812,0.82
198901,0.20
198902,0.48
198903,0.65
198904,0.34
198905,0.37
198906,0.22
198907,0.30
198908,0.27
198909,0.27
198910,0.37
198911,0.16
198912,0.74
199001,0.56
199002,0.60
199003,1.67
199004,0.80
199005,0.59
199006,0.53
199007,0.28
199008,0.43
199009,0.30
199010,0.59
199011,0.82
199012,0.68
199101,0.68
199102,0.82
199103,0.41
199104,0.83
199105,0.46
199106,0.71
199107,0.47
199108,0.40
199109,0.47
199110,0.41
199111,0.37
199112,0.29
199201,0.98
199202,0.82
199203,0.74
199204,0.28
199205,0.28
199206,0.13
199207,-0.20
199208,-0.07
199209,-0.27
199210,-0.12
199211,-0.15
199212,0.45
199301,0.68
199302,0.68
199303,0.82
199304,0.37
199305,0.37
199306,0.31
199307,0.28
199308,0.20
199309,0.03
199310,0.23
199311,-0.32
199312,0.51
199401,0.47
199402,-0.29
199403,0.72
199404,0.57
199405,0.65
199406,0.63
199407,0.33
199408,0.30
199409,0.47
199410,0.65
199411,0.71
199412,0.53
199501,1.04
199502,1.59
199503,0.82
199504,0.62
199505,0.47
199506,0.75
199507,0.52
199508,0.80
199509,0.66
199510,0.75
199511,0.74
199512,0.51
199601,0.19
199602,0.77
199603,0.31
199604,0.08
199605,0.56
199606,0.36
199607,0.43
199608,0.35
199609,0.10
199610,0.12
199611,0.28
199612,0.54
199701,0.51
199702,0.73
199703,0.78
199704,0.60
199705,0.42
199706,0.63
199707,0.47
199708,0.59
199709,0.75
199710,0.80
199711,0.58
199712,0.73
199801,0.71
199802,1.68
199803,0.92
199804,1.23
199805,0.98
199806,0.99
199807,1.13
199808,1.10
199809,0.82
199810,0.72
199811,0.33
199812,1.11
199901,1.00
199902,1.69
199903,0.36
199904,0.77
199905,0.62
199906,0.62
199907,0.67
199908,0.54
199909,0.65
199910,0.62
199911,0.61
199912,1.19
200001,0.50
200002,1.07
200003,1.07
200004,1.32
200005,0.72
200006,0.62
200007,0.53
200008,0.66
200009,0.50
200010,0.20
200011,0.05
200012,0.21
200101,0.74
200102,0.51
200103,1.18
200104,0.95
200105,1.02
200106,0.69
200107,0.81
200108,0.90
200109,0.69
200110,0.58
200111,1.32
200112,0.76
200201,1.40
200202,1.70
200203,1.57
200204,0.77
200205,0.79
200206,0.76
200207,0.98
200208,0.83
200209,0.84
200210,0.52
200211,0.94
200212,0.40
200301,1.33
200302,0.93
200303,0.85
200304,0.84
200305,0.94
200306,0.70
200307,0.75
200308,0.88
200309,0.87
200310,1.14
200311,0.69
200312,1.46
200401,0.94
200402,1.30
200403,1.29
200404,0.85
200405,0.46
200406,0.57
200407,0.40
200408,0.49
200409,0.66
200410,0.80
200411,1.39
200412,0.62
200501,1.08
200502,0.73
200503,1.33
200504,1.31
200505,0.97
200506,1.03
200507,0.94
200508,0.80
200509,1.10
200510,1.20
200511,1.44
200512,1.13
200601,0.68
200602,1.30
200603,1.16
200604,0.73
200605,0.67
200606,1.04
200607,0.89
200608,0.93
200609,0.87
200610,1.06
200611,0.87
200612,1.47
200701,1.95
200702,1.13
200703,1.23
200704,1.46
200705,1.10
200706,0.75
200707,0.82
200708,0.89
200709,1.02
200710,1.01
200711,1.09
200712,0.98
200801,0.20
200802,0.59
200803,1.85
200804,0.81
200805,0.82
200806,0.78
200807,0.86
200808,0.74
200809,0.69
200810,1.21
200811,1.31
200812,0.81
200901,1.04
200902,1.02
200903,1.00
200904,1.06
200905,0.75
200906,0.77
200907,0.73
200908,0.91
200909,1.15
200910,0.83
200911,0.99
200912,0.58
201001,1.01
201002,1.17
201003,1.54
201004,1.41
201005,1.19
201006,1.15
201007,1.13
201008,1.03
201009,0.89
201010,1.09
201011,1.55
201012,0.58
201101,0.59
201102,0.57
201103,0.98
201104,1.20
201105,0.81
201106,1.01
201107,1.03
201108,1.04
201109,0.97
201110,1.13
201111,0.68
201112,0.98
201201,0.62
201202,0.51
201203,0.88
201204,1.46
201205,1.32
201206,1.22
201207,1.02
201208,0.95
201209,1.10
201210,1.03
201211,1.12
201212,0.30
201301,1.01
201302,1.19
201303,1.08
201304,0.76
201305,1.12
201306,1.08
201307,0.80
201308,0.86
201309,0.94
201310,0.93
201311,1.47
201312,1.08
201401,1.13
201402,0.34
201403,1.36
201404,1.34
201405,1.18
201406,0.99
201407,0.79
201408,1.05
201409,0.97
201410,1.00
201411,0.71
201412,1.34
201501,1.46
201502,1.68
201503,1.68
201504,1.16
201505,1.31
201506,1.29
201507,1.05
201508,1.20
201509,1.24
201510,1.47
201511,1.37
201512,1.96
201601,1.67
201602,2.41
201603,2.51
201604,1.95
201605,1.30
201606,1.22
201607,1.17
201608,1.39
201609,1.38
201610,0.88
201611,1.08
201612,1.30
201701,1.63
201702,1.77
201703,1.95
201704,1.40
201705,1.27
201706,1.18
201707,1.21
201708,1.25
201709,1.25
201710,1.10
201711,1.16
201712,1.55
201801,1.15
201802,1.19
201803,1.59
201804,1.33
201805,1.23
201806,1.11
201807,1.17
201808,1.03
201809,1.07
201810,1.31
201811,0.89
201812,1.23
201901,1.63
201902,1.15
201903,1.99
201904,1.56
201905,1.15
201906,1.31
201907,1.17
201908,1.11
201909,1.36
201910,1.39
201911,1.28
201912,1.74
202001,2.07
202002,2.24
202003,2.12
202004,1.63
202005,1.40
202006,1.29
202007,1.22
202008,1.25
202009,1.46
202010,1.19
202011,1.72
202012,1.27
202101,1.32
202102,0.89
202103,1.59
202104,1.26
202105,1.27
202106,1.42
202107,1.39
202108,1.34
202109,1.35
202110,1.37
202111,1.48
202112,1.36
202201,1.47
202202,1.26
202203,1.64
202204,1.44
202205,1.15
202206,1.32
202207,1.28
202208,1.26
202209,1.24
202210,1.41
202211,0.96
